Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2013,"12        ",Female,17,Left-Handed,170,24,168,1,Bus,20,.318,41,None,155,160,155,620,70,711,24,"Same length",9,8,"Index finger",August,Spring,No,No,Seafood,"Soft drink (caffeinated)",English,7,12,8,"Yes - broadband connection","Cell phone",200,200,9,12,3,10,0,2,72,72,0,1,23,1,Some,"Graduate degree",Other,Invisibility,Happy,Friend,"Education/Youth development"
USA,MN,2014,"8         ",Female,13,Right-Handed,14,21,153,20,Bus,10,18932,52,Soccer,750,1000,1000,1000,1000,1000,20,"Left foot",85,95,"Same length",September,Summer,Yes,No,Meat,Juice,Other,8,13,10,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",100,100,8,2,1,1,5,0,0,2,2,3,2,0,"Very little","Graduate degree",Other,Fly,Happy,Other,"International aid"
USA,MN,2014,"11        ",Male,16,Right-Handed,150,28,148,2,Car,20,.46,31,Other,500,500,1000,1000,200,200,26,"Same length",72,81,"Ring finger",June,Summer,No,No,Pizza/Pasta,Water,"Physical education",6,10,6,"Yes - broadband connection","Cell phone",50,50,10,1,2,4,7,2,1,1,1,2,10,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"Education/Youth development"
USA,MN,2018,"9         ",Female,14,Right-Handed,167,38,158,1,Car,5,0.374,43,Swimming,800,500,1000,700,1000,1000,38,"Same length",90,95,"Ring finger",January,Winter,Yes,No,Desserts,Other,English,7,10,6,"Yes - broadband connection","Internet chat or instant messaging",117,132,10,40,5,2,0,100,80,10,60,20,0,4,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Friend,"Wildlife, animals"
USA,MN,2014,"11        ",Female,16,Ambidextrous,160.6,24.75,166,1,Car,7,.384,39,Gymnastics,300,400,300,400,1000,1000,25,"Right foot",78,80,"Ring finger",August,Spring,Yes,No,Breads/Sandwiches,Water,Science,5,7,4,"Yes - broadband connection","In person",50,55,20,0,5,2,6,4,4,10,15,6,0,11,Some,"Graduate degree",Other,"Freeze time",Happy,"Musician or singer","Wildlife, animals"
USA,MN,2015,"12        ",Female,15,Right-Handed,160,20.5,150,2,Bus,60,0.355,52,Soccer,200,500,100,500,0,1000,20.5,"Same length",,,"Index finger",March,Winter,No,No,Meat,Water,Other,7,10,4,"Yes - other","Text messaging",300,300,1,4,,0,1,0,2,5,0,1,0,0,Some,"Some college","Rap/Hip hop",Fly,Happy,Other,"Wildlife, animals"
USA,MN,2015,"12        ",Male,15,Right-Handed,165.1,132,150,1,Bus,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"12        ",Female,17,Right-Handed,176,24,167,1,Car,30,0.444,56,Soccer,600,600,600,600,300,300,24,"Same length",85,90,"Ring finger",March,Fall,No,No,Desserts,Milk,Other,6,12,5,"Yes - broadband connection","Text messaging",50,50,10,1,15,10,24,0,5,100,3,4,0,24,"A lot","Graduate degree",Country,Telepathy,Happy,Friend,Health
USA,MN,2017,"12        ",Female,17,Right-Handed,161,20,161,1,Car,15,.558,39,Running/Jogging,,,,,,3,,,6.5,7.2,"Ring finger",November,Winter,No,No,Desserts,Water,"Mathematics and statistics",7,4,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200,250,,,,,,,,,,,,,"A lot","Graduate degree","Rap/Hip hop",,Happy,Relative,Health
USA,MN,2018,"12        ",Male,16,Right-Handed,184,28,184,2,Car,5,.382,40,Swimming,500,500,500,600,100,650,27.5,"Right foot",100,105,"Ring finger",April,Winter,No,No,Pizza/Pasta,Water,Music,9,9,4,"Yes - broadband connection","In person",2,1,0,1,3,10,6,2,0,3,4,3,10,2,"Very little","Graduate degree",Jazz,Invisibility,Happy,Relative,"Arts, culture, sports"
